"","Date","Open","High","Low","Close","Adj.Close","Volume","Price","Price_1","Price_2","Price_3","Price_4","Price_5","SMA_5","SMA_10","SMA_50","tr","tr2","tr3","tr4","tr5"
"1196",2018-01-26,7448.330078,7505.77002,7431.220215,7505.77002,7505.77002,2059010000,7505.77002,7466.509766,7402.47998,7411.47998,7385.859863,7240.950195,7434.4199218,7232.5599608,7223.94139648,7411.160156,7415.060059,7460.290039,7408.029785,7336.379883
"1195",2018-01-25,7457.950195,7458.529785,7388.580078,7411.160156,7411.160156,2061450000,7411.160156,7505.77002,7466.509766,7402.47998,7411.47998,7385.859863,7439.4799804,7295.9599608,7233.15780272,7415.060059,7460.290039,7408.029785,7336.379883,7296.049805
"1194",2018-01-24,7474.160156,7486.319824,7376.75,7415.060059,7415.060059,2277010000,7415.060059,7411.160156,7505.77002,7466.509766,7402.47998,7411.47998,7440.1959962,7332.2679687,7243.15680664,7460.290039,7408.029785,7336.379883,7296.049805,7298.279785
"1193",2018-01-23,7424.950195,7465.390137,7423.180176,7460.290039,7460.290039,2119840000,7460.290039,7415.060059,7411.160156,7505.77002,7466.509766,7402.47998,7451.758008,7366.7089843,7250.83161132,7408.029785,7336.379883,7296.049805,7298.279785,7223.689941
"1192",2018-01-22,7338.040039,7408.029785,7332.810059,7408.029785,7408.029785,2106070000,7408.029785,7460.290039,7415.060059,7411.160156,7505.77002,7466.509766,7440.0620118,7410.7589843,7258.15000976,7336.379883,7296.049805,7298.279785,7223.689941,7261.060059
"1191",2018-01-19,7312,7336.379883,7297.279785,7336.379883,7336.379883,1997270000,7336.379883,7408.029785,7460.290039,7415.060059,7411.160156,7505.77002,7406.1839844,7420.3019531,7266.05201172,7296.049805,7298.279785,7223.689941,7261.060059,7211.779785
"1190",2018-01-18,7293.649902,7313.890137,7276.109863,7296.049805,7296.049805,2026220000,7296.049805,7336.379883,7408.029785,7460.290039,7415.060059,7411.160156,7383.1619142,7411.3209473,7274.57060548,7298.279785,7223.689941,7261.060059,7211.779785,7153.569824
"1189",2018-01-17,7257.77002,7309.359863,7229.319824,7298.279785,7298.279785,2238070000,7298.279785,7296.049805,7336.379883,7408.029785,7460.290039,7415.060059,7359.8058594,7400.0009278,7279.26719728,7223.689941,7261.060059,7211.779785,7153.569824,7163.580078
"1188",2018-01-16,7307.189941,7330.330078,7205.930176,7223.689941,7223.689941,2377140000,7223.689941,7298.279785,7296.049805,7336.379883,7408.029785,7460.290039,7312.4858398,7382.1219239,7284.7563965,7261.060059,7211.779785,7153.569824,7163.580078,7157.390137
"1187",2018-01-12,7208.169922,7265.259766,7205.180176,7261.060059,7261.060059,1976200000,7261.060059,7223.689941,7298.279785,7296.049805,7336.379883,7408.029785,7283.0918946,7361.5769532,7289.8013965,7211.779785,7153.569824,7163.580078,7157.390137,7136.560059
